f1,precision,recall,balanced_accuracy,false_alert_rate,tn,fp,fn,tp,method,threshold,seed,severity
0.8746684350132626,0.9334748761500354,0.8228321896444167,0.8893917274370162,0.044048734770384255,2040,94,284,1319,Temporal Extra Trees,0.55,0,1.0
0.8749177090190915,0.9261324041811847,0.8290704928259514,0.8896992576594611,0.04967197750702906,2028,106,274,1329,Temporal Random Forest,0.49,0,1.0
0.8869165023011177,0.9374565670604587,0.8415470991890206,0.8996863893320923,0.04217432052483599,2044,90,254,1349,Temporal HistGradientBoosting,0.44,0,1.0
0.8836088154269972,0.9603293413173652,0.8182397959183674,0.8965128570457679,0.02521408182683159,2049,53,285,1283,Camera Only,0.7100000000000001,1,0.0
0.7990748771321191,0.730830248545743,0.8813775510204082,0.8196136090021165,0.24215033301617508,1593,509,186,1382,Accelerometer Only,0.39,1,0.0
0.8519511468573131,0.7993292342090553,0.9119897959183674,0.8706000359230277,0.17078972407231208,1743,359,138,1430,Mean Late Fusion,0.44,1,0.0
0.8681528662420382,0.8670483460559797,0.8692602040816326,0.8849155444765917,0.0994291151284491,1893,209,205,1363,Max OR Fusion,0.7100000000000001,1,0.0
0.8357675111773473,0.7845551203133744,0.8941326530612245,0.8554868783859881,0.18315889628924834,1717,385,166,1402,Min Agreement Fusion,0.27,1,0.0
0.8609439341146659,0.855254877281309,0.8667091836734694,0.8786447916464397,0.10941960038058991,1872,230,209,1359,Product Agreement Fusion,0.24000000000000002,1,0.0
0.8707567735907817,0.8508825319537432,0.8915816326530612,0.8875129856890425,0.11655566127497621,1857,245,170,1398,Naive Independence,0.8,1,0.0
0.8554095045500506,0.9070764832022874,0.8093112244897959,0.8737326817025572,0.06184586108468126,1972,130,299,1269,Rule AND Tuned,0.49,1,0.0
0.8681528662420382,0.8670483460559797,0.8692602040816326,0.8849155444765917,0.0994291151284491,1893,209,205,1363,Rule OR Tuned,0.7100000000000001,1,0.0
0.8875542208875542,0.9307207837648706,0.8482142857142857,0.9005581419056681,0.04709800190294957,2003,99,238,1330,Calibrated Logistic Fusion,0.7100000000000001,1,0.0
0.8968018463567425,0.9283276450511946,0.8673469387755102,0.908697256257403,0.04995242626070409,1997,105,208,1360,Temporal Logistic Fusion,0.67,1,0.0
0.8787675820495646,0.92524682651622,0.8367346938775511,0.8931532651119439,0.05042816365366318,1996,106,256,1312,Temporal Extra Trees,0.54,1,0.0
0.8772515010006671,0.9195804195804196,0.8386479591836735,0.8919690794966892,0.054709800190294956,1987,115,253,1315,Temporal Random Forest,0.47000000000000003,1,0.0
0.8790058862001308,0.9020134228187919,0.8571428571428571,0.8938425988854153,0.06945765937202664,1956,146,224,1344,Temporal HistGradientBoosting,0.32,1,0.0
0.8823327615780446,0.9547141796585004,0.8201530612244898,0.8955665401269928,0.029019980970504282,2041,61,282,1286,Camera Only,0.7000000000000001,1,0.2
0.8002569043031471,0.8059508408796895,0.7946428571428571,0.8259608196275656,0.142721217887726,1802,300,322,1246,Accelerometer Only,0.61,1,0.2
0.8497470990776554,0.7964305633017289,0.9107142857142857,0.8685350686421096,0.1736441484300666,1737,365,140,1428,Mean Late Fusion,0.44,1,0.2
0.8645569620253165,0.8580402010050251,0.8711734693877551,0.8818284092895008,0.10751665080875357,1876,226,202,1366,Max OR Fusion,0.7000000000000001,1,0.2
0.8370702541106129,0.7878446820483962,0.8928571428571429,0.8567520728557836,0.17935299714557565,1725,377,168,1400,Min Agreement Fusion,0.27,1,0.2
0.855787476280835,0.8488080301129235,0.8628826530612245,0.8741149706790423,0.11465271170313987,1861,241,215,1353,Product Agreement Fusion,0.24000000000000002,1,0.2
0.8716323296354992,0.8664146187775678,0.8769132653061225,0.888028468999398,0.10085632730732635,1890,212,193,1375,Naive Independence,0.8300000000000001,1,0.2
0.8503515232674924,0.8949964763918252,0.8099489795918368,0.8695320540204664,0.07088487155090391,1953,149,298,1270,Rule AND Tuned,0.48000000000000004,1,0.2
0.8645569620253165,0.8580402010050251,0.8711734693877551,0.8818284092895008,0.10751665080875357,1876,226,202,1366,Rule OR Tuned,0.7000000000000001,1,0.2
0.8808567603748326,0.9267605633802817,0.8392857142857143,0.8949045127089846,0.049476688867745006,1998,104,252,1316,Calibrated Logistic Fusion,0.7100000000000001,1,0.2
0.8788732394366198,0.9811320754716981,0.7959183673469388,0.8922503349579604,0.011417697431018078,2078,24,320,1248,Temporal Logistic Fusion,0.85,1,0.2
0.8810333106730116,0.9432314410480349,0.826530612244898,0.8947115477970446,0.037107516650808754,2024,78,272,1296,Temporal Extra Trees,0.56,1,0.2
0.8836424957841484,0.9377236936292055,0.8354591836734694,0.8970350152430144,0.04138915318744053,2015,87,258,1310,Temporal Random Forest,0.48000000000000004,1,0.2
